issue_id,num_reassignments
CAMEL-9021,1.0
CAMEL-5958,1.0
CAMEL-9419,1.0
CAMEL-11685,0.0
HADOOP-9784,0.0
CAMEL-22824,0.0
CAMEL-21703,1.0
CAMEL-11301,0.0
CAMEL-12072,1.0
HADOOP-18546,1.0
CAMEL-24220,1.0
CAMEL-22865,1.0
CAMEL-8392,1.0
CAMEL-13991,0.0
HADOOP-11565,1.0
HADOOP-19745,1.0
HADOOP-8638,2.0
HADOOP-5533,1.0
CAMEL-8007,0.0
CAMEL-18028,1.0
CAMEL-766,1.0
CAMEL-21812,0.0
CAMEL-18905,1.0
HADOOP-15180,1.0
CAMEL-9845,0.0
HADOOP-12248,1.0
CAMEL-3891,0.0
CAMEL-8431,1.0
CAMEL-5388,1.0
HADOOP-14373,0.0
CAMEL-12549,1.0
CAMEL-17002,1.0
CAMEL-375,0.0
CAMEL-9620,1.0
CAMEL-14451,0.0
HADOOP-19483,0.0
CAMEL-11638,0.0
CAMEL-6004,1.0
CAMEL-15501,0.0
HADOOP-13083,1.0
CAMEL-3590,1.0
CAMEL-1702,1.0
CAMEL-15632,0.0
CAMEL-20245,0.0
CAMEL-18899,1.0
CAMEL-17781,1.0
HADOOP-16828,0.0
CAMEL-4038,1.0
CAMEL-23128,1.0
CAMEL-18348,0.0
HADOOP-933,1.0
CAMEL-2763,0.0
CAMEL-16829,1.0
HADOOP-9261,1.0
CAMEL-16561,0.0
CAMEL-15109,0.0
CAMEL-8123,1.0
CAMEL-14284,5.0
HADOOP-9151,0.0
CAMEL-2594,1.0
HADOOP-1955,1.0
CAMEL-4491,1.0
HADOOP-6407,1.0
HADOOP-19066,1.0
HADOOP-2563,1.0
CAMEL-3912,1.0
HADOOP-14489,0.0
HADOOP-9297,0.0
CAMEL-14780,0.0
HADOOP-15664,1.0
HADOOP-5858,0.0
CAMEL-9089,1.0
CAMEL-12401,0.0
CAMEL-2860,0.0
CAMEL-17755,1.0
CAMEL-16727,0.0
HADOOP-15814,1.0
CAMEL-8668,1.0
CAMEL-11183,2.0
CAMEL-14672,1.0
CAMEL-5871,1.0
CAMEL-7334,0.0
CAMEL-21792,1.0
CAMEL-2508,0.0
CAMEL-20788,1.0
CAMEL-2252,0.0
CAMEL-2543,1.0
HADOOP-2596,1.0
CAMEL-24245,0.0
CAMEL-7211,0.0
CAMEL-7701,1.0
HADOOP-45,3.0
CAMEL-3588,1.0
HADOOP-6811,1.0
CAMEL-10253,1.0
CAMEL-16944,0.0
HADOOP-15996,1.0
CAMEL-22407,1.0
CAMEL-14727,0.0
CAMEL-1157,0.0
CAMEL-20961,1.0
CAMEL-20036,1.0
CAMEL-15896,0.0
HADOOP-3333,2.0
HADOOP-3586,1.0
HADOOP-8290,0.0
CAMEL-16758,0.0
CAMEL-1264,1.0
HADOOP-625,0.0
CAMEL-332,1.0
HADOOP-1695,1.0
HADOOP-13227,0.0
HADOOP-18713,1.0
CAMEL-19121,1.0
CAMEL-22139,0.0
CAMEL-1719,0.0
