loc,cyclomatic_complexity,num_functions,num_files_changed,issue_id,project_name,era,issue_type,defect_prone
347,1.6444444444444444,45,5,TIKA-4598,TIKA,ai_era,Task,0
356,4.45,20,1,TIKA-644,TIKA,pre_ai,Bug,1
1405,2.406015037593985,133,6,TIKA-837,TIKA,pre_ai,Sub-task,0
5388,5.560344827586207,232,32,TIKA-930,TIKA,pre_ai,Improvement,0
2448,4.577586206896552,116,5,TIKA-4755,TIKA,ai_era,Task,0
458,8.647058823529411,17,1,TIKA-4653,TIKA,ai_era,Task,0
94,3.75,4,1,TIKA-510,TIKA,pre_ai,Improvement,0
29,1.5,4,1,TIKA-4293,TIKA,ai_era,Bug,1
511,2.4375,32,2,TIKA-4252,TIKA,ai_era,Bug,1
236,2.5217391304347827,23,1,TIKA-822,TIKA,pre_ai,Bug,1
490,7.411764705882353,17,1,TIKA-3741,TIKA,pre_ai,Task,0
201,3.8333333333333335,6,1,TIKA-853,TIKA,pre_ai,Bug,1
70,2.5,2,1,TIKA-4193,TIKA,ai_era,Improvement,0
58,1.0,6,1,TIKA-4510,TIKA,ai_era,Test,0
82,7.0,2,1,TIKA-3734,TIKA,pre_ai,Task,0
156,6.0,5,1,TIKA-4413,TIKA,ai_era,Task,0
729,5.344827586206897,29,1,TIKA-2999,TIKA,pre_ai,Task,0
1116,5.717948717948718,39,2,TIKA-3875,TIKA,pre_ai,Task,0
2231,4.3983739837398375,123,11,TIKA-4710,TIKA,ai_era,Task,0
704,4.121212121212121,33,2,TIKA-4817,TIKA,ai_era,Task,0
221,4.2,10,1,TIKA-4630,TIKA,ai_era,Improvement,0
465,1.819672131147541,61,3,TIKA-927,TIKA,pre_ai,Improvement,0
142,2.0833333333333335,12,1,TIKA-2520,TIKA,pre_ai,Improvement,0
4513,3.120805369127517,298,15,TIKA-4128,TIKA,ai_era,Task,0
384,2.257142857142857,35,1,TIKA-2356,TIKA,pre_ai,Bug,1
1284,1.8208092485549132,173,14,TIKA-4665,TIKA,ai_era,New Feature,0
445,3.6666666666666665,30,2,TIKA-441,TIKA,pre_ai,Bug,1
51,1.8333333333333333,6,1,TIKA-4065,TIKA,ai_era,Bug,1
285,4.363636363636363,11,1,TIKA-4116,TIKA,ai_era,Bug,1
1613,5.3088235294117645,68,5,TIKA-4437,TIKA,ai_era,Task,0
1543,2.7214285714285715,140,2,TIKA-4358,TIKA,ai_era,Task,0
172,6.333333333333333,6,1,TIKA-4530,TIKA,ai_era,Improvement,0
506,4.043478260869565,23,1,TIKA-4785,TIKA,ai_era,Bug,1
240,2.2857142857142856,21,1,TIKA-1053,TIKA,pre_ai,Improvement,0
225,3.8181818181818183,11,1,TIKA-146,TIKA,pre_ai,Improvement,0
469,3.3529411764705883,34,6,TIKA-4754,TIKA,ai_era,Task,0
826,1.9591836734693877,98,1,TIKA-4082,TIKA,ai_era,Bug,1
254,2.0588235294117645,17,1,TIKA-4385,TIKA,ai_era,Bug,1
588,7.3,20,1,TIKA-4727,TIKA,ai_era,Improvement,0
1936,2.9836065573770494,122,14,TIKA-3324,TIKA,ai_era,Task,0
576,4.931034482758621,29,1,TIKA-4718,TIKA,ai_era,Task,0
238,2.217391304347826,23,1,TIKA-4204,TIKA,ai_era,Bug,1
5613,2.5462555066079293,454,30,TIKA-4758,TIKA,ai_era,Task,0
916,1.92,100,2,TIKA-4756,TIKA,ai_era,Improvement,0
3377,3.12992125984252,254,20,TIKA-2220,TIKA,pre_ai,Improvement,0
83,2.25,8,1,TIKA-163,TIKA,pre_ai,Bug,1
2385,3.08,150,5,TIKA-4033,TIKA,ai_era,Task,0
539,5.130434782608695,23,1,TIKA-4430,TIKA,ai_era,Task,0
913,4.170731707317073,41,4,TIKA-4641,TIKA,ai_era,Task,0
3898,2.9246575342465753,292,10,TIKA-4748,TIKA,ai_era,Task,0
1256,1.887218045112782,133,6,TIKA-4666,TIKA,ai_era,New Feature,0
505,4.56,25,1,TIKA-1376,TIKA,pre_ai,Improvement,0
233,16.333333333333332,3,1,TIKA-4474,TIKA,ai_era,Bug,1
302,2.5833333333333335,24,2,TIKA-738,TIKA,pre_ai,Bug,1
473,4.074074074074074,27,1,TIKA-4032,TIKA,ai_era,Task,0
255,10.75,8,1,TIKA-2849,TIKA,pre_ai,Bug,1
429,1.868421052631579,38,1,TIKA-3286,TIKA,pre_ai,Improvement,0
426,4.625,24,1,TIKA-4445,TIKA,ai_era,Bug,1
1978,4.803921568627451,102,6,TIKA-4736,TIKA,ai_era,Bug,1
118,2.625,8,1,TIKA-389,TIKA,pre_ai,Bug,1
699,3.116279069767442,43,2,TIKA-2810,TIKA,pre_ai,Improvement,0
2742,2.4688796680497926,241,4,TIKA-4287,TIKA,ai_era,Task,0
949,3.4285714285714284,49,2,TIKA-4556,TIKA,ai_era,Task,0
870,3.6842105263157894,38,3,TIKA-4205,TIKA,ai_era,New Feature,0
82,3.0,3,1,TIKA-1500,TIKA,pre_ai,Bug,1
62,1.3,10,1,TIKA-4453,TIKA,ai_era,Bug,1
7147,2.709737827715356,534,36,TIKA-4562,TIKA,ai_era,Task,0
1060,9.13888888888889,36,1,TIKA-1544,TIKA,pre_ai,Bug,1
1074,5.196078431372549,51,1,TIKA-4737,TIKA,ai_era,Bug,1
1041,2.01,100,4,TIKA-3297,TIKA,pre_ai,Task,0
99,2.7777777777777777,9,2,TIKA-750,TIKA,pre_ai,Improvement,0
711,2.2142857142857144,70,1,TIKA-4216,TIKA,ai_era,Improvement,0
60,5.0,2,1,TIKA-1837,TIKA,pre_ai,Bug,1
310,3.7222222222222223,18,1,TIKA-4433,TIKA,ai_era,Task,0
114,3.5,6,1,TIKA-293,TIKA,pre_ai,Bug,1
354,1.641025641025641,39,2,TIKA-2022,TIKA,pre_ai,Improvement,0
