loc,cyclomatic_complexity,num_functions,num_files_changed,token_count,project_name,era,defect_prone
521,2.95,40,3,4016,CAMEL,ai_era,1
772,2.2739726027397262,73,1,4744,HADOOP,ai_era,1
597,2.217391304347826,46,1,4283,HADOOP,pre_ai,1
294,3.6,20,1,1776,HADOOP,pre_ai,1
398,10.916666666666666,12,1,3489,CAMEL,pre_ai,1
1131,1.9315068493150684,146,3,7897,HADOOP,pre_ai,1
1461,3.1714285714285717,70,1,10752,HADOOP,ai_era,1
68,1.1111111111111112,9,2,472,CAMEL,ai_era,1
636,2.278688524590164,61,5,4368,CAMEL,ai_era,1
245,1.7391304347826086,23,1,2237,CAMEL,pre_ai,1
155,1.318181818181818,22,1,1098,CAMEL,pre_ai,1
594,8.526315789473685,19,1,4645,CAMEL,ai_era,1
2709,3.276073619631902,163,6,17099,HADOOP,pre_ai,1
834,4.821428571428571,28,3,6850,CAMEL,ai_era,1
1217,2.5689655172413794,58,4,7247,HADOOP,ai_era,1
414,1.6041666666666667,48,1,2863,HADOOP,ai_era,1
792,1.3687943262411348,141,1,4720,CAMEL,pre_ai,1
217,2.6875,16,1,1401,HADOOP,pre_ai,1
134,2.636363636363636,11,1,817,CAMEL,ai_era,1
499,3.3714285714285714,35,2,3240,CAMEL,ai_era,1
8093,2.147165259348613,829,30,51871,CAMEL,pre_ai,1
2239,1.5313807531380754,239,3,15165,HADOOP,pre_ai,1
487,2.8421052631578947,38,7,3544,CAMEL,ai_era,1
496,1.7605633802816902,71,1,3017,CAMEL,ai_era,1
380,1.6304347826086956,46,2,2645,CAMEL,ai_era,1
2499,2.593886462882096,229,11,18073,CAMEL,pre_ai,1
3529,4.427586206896552,145,17,28480,CAMEL,ai_era,1
149,2.4444444444444446,9,1,1291,CAMEL,ai_era,1
1482,1.8711340206185567,194,8,9616,CAMEL,pre_ai,1
630,4.617647058823529,34,3,4466,CAMEL,ai_era,1
499,1.681818181818182,66,1,3374,CAMEL,pre_ai,1
318,3.933333333333333,15,1,2744,CAMEL,ai_era,1
9390,1.948119325551232,771,32,62278,HADOOP,ai_era,1
9,1.0,1,1,48,HADOOP,pre_ai,1
27,1.6666666666666667,3,1,182,HADOOP,ai_era,1
6010,2.17156862745098,408,13,41128,HADOOP,ai_era,1
207,2.0,22,1,1539,HADOOP,pre_ai,1
955,2.7349397590361444,83,1,6118,CAMEL,ai_era,1
474,1.8545454545454545,55,3,3440,CAMEL,ai_era,1
941,1.4035087719298245,114,1,5506,HADOOP,ai_era,1
322,1.5106382978723405,47,2,2032,CAMEL,ai_era,1
627,1.4875,80,2,3857,CAMEL,ai_era,1
237,1.0526315789473684,38,2,1547,CAMEL,ai_era,1
74,1.0,12,2,567,CAMEL,pre_ai,1
2043,2.895104895104895,143,1,13070,HADOOP,pre_ai,1
1057,2.1066666666666665,75,1,7292,HADOOP,ai_era,1
6780,2.228235294117647,425,11,47465,HADOOP,ai_era,1
3575,1.9014084507042253,284,3,22317,HADOOP,ai_era,1
745,4.818181818181818,33,3,6363,CAMEL,pre_ai,1
91,2.571428571428572,7,2,578,CAMEL,pre_ai,1
800,8.0,24,2,7006,CAMEL,pre_ai,1
1042,2.0930232558139537,86,3,6502,HADOOP,ai_era,1
313,1.339622641509434,53,2,2095,CAMEL,pre_ai,1
206,1.020408163265306,49,1,968,CAMEL,pre_ai,1
114,2.076923076923077,13,2,759,CAMEL,pre_ai,1
4777,2.467236467236467,351,8,30122,HADOOP,pre_ai,1
343,6.454545454545454,11,1,3033,CAMEL,pre_ai,1
341,4.5,12,1,2551,CAMEL,pre_ai,1
621,2.3846153846153846,39,1,4425,HADOOP,pre_ai,1
812,2.857142857142857,49,16,6436,CAMEL,ai_era,1
3940,1.940959409594096,271,3,24169,HADOOP,ai_era,1
608,2.326530612244898,49,4,4766,CAMEL,ai_era,1
488,3.2564102564102564,39,1,3584,CAMEL,pre_ai,1
3673,1.8694158075601373,291,4,22895,HADOOP,ai_era,1
4392,2.045009784735812,511,6,29879,CAMEL,ai_era,1
358,1.2361111111111112,72,3,2154,CAMEL,pre_ai,1
314,1.6296296296296295,27,2,2193,HADOOP,ai_era,1
192,7.833333333333333,6,1,1912,CAMEL,pre_ai,1
154,2.4285714285714284,14,1,1071,CAMEL,ai_era,1
1113,3.1904761904761907,63,4,7484,HADOOP,pre_ai,1
190,2.4285714285714284,14,2,1746,CAMEL,ai_era,1
957,5.157894736842105,38,6,8550,CAMEL,ai_era,1
2010,3.613333333333333,75,8,14511,HADOOP,pre_ai,1
217,1.1956521739130437,46,1,1058,CAMEL,pre_ai,1
1087,1.5391304347826087,115,3,7031,HADOOP,ai_era,1
774,2.2586206896551726,58,16,5136,HADOOP,ai_era,1
234,2.6666666666666665,18,1,1468,HADOOP,ai_era,1
3819,2.424170616113744,422,3,26310,CAMEL,ai_era,1
1378,1.5806451612903225,155,3,11066,CAMEL,ai_era,1
3122,2.754448398576512,281,2,21255,CAMEL,pre_ai,1
192,2.888888888888889,9,1,1219,HADOOP,ai_era,1
133,2.1,10,2,962,CAMEL,pre_ai,1
136,1.5789473684210529,19,1,855,CAMEL,pre_ai,1
754,1.5977011494252873,87,2,5162,CAMEL,pre_ai,1
115,22.0,1,1,755,CAMEL,ai_era,1
5134,2.46814404432133,361,4,31590,HADOOP,pre_ai,1
2475,5.978260869565218,92,1,19472,CAMEL,ai_era,1
3958,1.7761989342806397,563,28,25221,CAMEL,pre_ai,1
380,2.375,16,10,2620,CAMEL,ai_era,1
2825,5.990654205607477,107,6,21585,CAMEL,ai_era,1
466,6.666666666666667,9,1,3356,HADOOP,pre_ai,1
149,1.1666666666666667,24,2,924,CAMEL,ai_era,1
